Date,Actual_Regime,Risk_Probability
2024-11-18,1,0.71421117
2024-11-19,1,0.5983307
2024-11-20,1,0.52475053
2024-11-21,1,0.5141655
2024-11-22,1,0.521232
2024-11-25,1,0.5765177
2024-11-26,1,0.561017
2024-11-27,1,0.49712768
2024-11-28,1,0.49772456
2024-11-29,1,0.49267444
2024-12-02,1,0.54363394
2024-12-03,1,0.40381616
2024-12-04,1,0.20750462
2024-12-05,0,0.16736929
2024-12-06,0,0.15911643
2024-12-09,0,0.124240905
2024-12-10,0,0.0799437
2024-12-11,0,0.0795619
2024-12-12,0,0.11890235
2024-12-13,0,0.11363438
2024-12-16,0,0.14583072
2024-12-17,0,0.16514936
2024-12-18,0,0.19746831
2024-12-19,0,0.203997
2024-12-20,0,0.12228792
2024-12-23,0,0.039907698
2024-12-24,0,0.07086083
2024-12-25,0,0.08169197
2024-12-26,0,0.07219805
2024-12-27,0,0.0565086
2024-12-30,0,0.10071197
2024-12-31,0,0.112813115
2025-01-02,0,0.10442513
2025-01-03,0,0.08549312
2025-01-06,0,0.090310566
2025-01-07,0,0.12542322
2025-01-08,0,0.14771126
2025-01-09,0,0.11943552
2025-01-10,0,0.18946944
2025-01-13,0,0.1920412
2025-01-14,0,0.14687516
2025-01-15,0,0.20563883
2025-01-16,0,0.10743284
2025-01-17,0,0.1264358
2025-01-20,0,0.07836315
2025-01-21,0,0.09558611
2025-01-22,0,0.16297497
2025-01-23,0,0.13640487
2025-01-24,0,0.10954688
2025-01-27,0,0.095120676
2025-01-28,0,0.27747497
2025-01-29,0,0.46011677
2025-01-30,0,0.34871736
2025-01-31,0,0.27133083
2025-02-03,0,0.11531095
2025-02-04,0,0.08625034
2025-02-05,0,0.112479635
2025-02-06,0,0.1527511
2025-02-07,0,0.10222313
2025-02-10,0,0.10739852
2025-02-11,0,0.10414326
2025-02-12,0,0.06178943
2025-02-13,0,0.06610748
2025-02-14,0,0.072838195
2025-02-17,0,0.070956804
2025-02-18,0,0.059185553
2025-02-19,0,0.078686826
2025-02-20,0,0.074365534
2025-02-21,0,0.06643191
2025-02-24,0,0.069700316
2025-02-25,0,0.08237983
2025-02-26,0,0.08132558
2025-02-27,0,0.08622539
2025-02-28,0,0.09581592
2025-03-03,0,0.12751086
2025-03-04,0,0.0926572
2025-03-05,0,0.08815022
2025-03-06,0,0.18733034
2025-03-07,0,0.26349846
2025-03-10,1,0.3854453
2025-03-11,1,0.45336
2025-03-12,1,0.34301266
2025-03-13,1,0.32084823
2025-03-14,1,0.33261186
2025-03-17,1,0.44364902
2025-03-18,1,0.31466892
2025-03-19,1,0.94348234
2025-03-20,1,0.94052106
2025-03-21,1,0.94747484
2025-03-24,1,0.94450396
2025-03-25,1,0.93830836
2025-03-26,1,0.940952
2025-03-27,1,0.93931246
2025-03-28,1,0.92284304
2025-04-02,1,0.9241611
2025-04-03,1,0.92720705
2025-04-04,1,0.93511486
2025-04-07,1,0.9376705
2025-04-08,1,0.92145
2025-04-09,1,0.938003
2025-04-10,1,0.93953604
2025-04-11,1,0.94635457
2025-04-14,1,0.9442002
2025-04-15,1,0.94490993
2025-04-16,1,0.93330956
2025-04-17,1,0.9183194
2025-04-18,1,0.92610997
2025-04-21,1,0.9065774
2025-04-22,1,0.93979
2025-04-24,1,0.2576442
2025-04-25,0,0.17905106
2025-04-28,0,0.08920721
2025-04-29,0,0.10233176
2025-04-30,0,0.067678265
